country,emergency_name,appeal_name,search_patterns,start_date,end_date
Kenya,Kenya Drought 2017,Kenya Flash Appeal 2017,drought|crop failure|water shortage|rainfall|rains,2016-12-31,2018-08-10
Vanuatu,VANUATU - Tropical Cyclone Pam - March 2015,Humanitarian Action Plan/ERP for Vanuatu,cyclone|pam|tc|tropical|hurricane|typhoon|flood|storm,2015-02-13,2016-09-13
Mozambique,Tropical Cyclone Idai - Mar 2019 and Kenneth - Apr 2019,,cyclone|idai|kenneth|tropical|flood,2019-02-14,2020-09-14
Haiti,CARIBBEAN - Hurricane Matthew - October 2016,Haiti Flash Appeal: Hurricane Matthew 2016,hurricane|matthew|storm|flood|cyclone,2016-04-09,2018-04-04
Peru,Peru - Floods - March 2017,Peru Flash Appeal 2017,flood|landslide|rain|el nino|mudslide,2017-01-01,2018-08-03
Nepal,NEPAL - Earthquake - April 2015,Nepal Earthquake Flash Appeal 2015,quake|aftershock|landslide,2015-04-25,2016-10-25
Lesotho,,Lesotho Flash Appeal 2019-2020,drought|crop failure|water shortage|rainfall|rains,2019-03-31,2021-04-30
"Congo, The Democratic Republic of the",DR Congo - Ebola Outbreak 2018 - 2019,,ebola|outbreak|epidemic|virus|disease|transmission|spread,2018-08-05,2019-11-08
Indonesia,INDONESIA: Tsunami/Earthquake â€“ September 2018,Indonesia: Central Sulawesi Earthquake Response Plan 2018,quake|aftershock|landslide|tsunami|liquefaction|sulawesi,2018-09-28,2020-03-28
